週次,週平均價,時間
127,13.30,2002-06-02 00:00:00
128,13.30,2002-06-09 00:00:00
129,13.30,2002-06-16 00:00:00
130,13.30,2002-06-23 00:00:00
131,13.30,2002-06-30 00:00:00
132,13.30,2002-07-07 00:00:00
133,18.20,2002-07-14 00:00:00
134,13.30,2002-07-21 00:00:00
135,13.30,2002-07-28 00:00:00
136,13.30,2002-08-04 00:00:00
137,13.30,2002-08-11 00:00:00
138,13.75,2002-08-18 00:00:00
139,13.75,2002-08-25 00:00:00
140,20.40,2002-09-01 00:00:00
141,13.75,2002-09-08 00:00:00
142,20.40,2002-09-15 00:00:00
143,19.50,2002-09-22 00:00:00
144,14.35,2002-09-29 00:00:00
145,14.35,2002-10-06 00:00:00
146,19.50,2002-10-13 00:00:00
147,14.35,2002-10-20 00:00:00
148,21.20,2002-10-27 00:00:00
149,21.20,2002-11-03 00:00:00
150,15.35,2002-11-10 00:00:00
151,19.20,2002-11-17 00:00:00
152,15.35,2002-11-24 00:00:00
153,19.90,2002-12-01 00:00:00
154,21.20,2002-12-08 00:00:00
155,21.20,2002-12-15 00:00:00
156,15.35,2002-12-22 00:00:00
157,21.50,2002-12-29 00:00:00
158,22.00,2003-01-05 00:00:00
159,15.55,2003-01-12 00:00:00
160,15.55,2003-01-19 00:00:00
161,20.20,2003-01-26 00:00:00
162,15.55,2003-02-02 00:00:00
163,15.55,2003-02-09 00:00:00
164,15.55,2003-02-16 00:00:00
165,16.50,2003-02-23 00:00:00
166,16.50,2003-03-02 00:00:00
167,16.50,2003-03-09 00:00:00
168,16.50,2003-03-16 00:00:00
169,16.50,2003-03-23 00:00:00
170,21.60,2003-03-30 00:00:00
171,16.00,2003-04-06 00:00:00
172,15.40,2003-04-13 00:00:00
173,21.20,2003-04-20 00:00:00
174,15.40,2003-04-27 00:00:00
175,15.40,2003-05-04 00:00:00
176,15.40,2003-05-11 00:00:00
177,21.20,2003-05-18 00:00:00
178,15.40,2003-05-25 00:00:00
179,15.40,2003-06-01 00:00:00
180,21.20,2003-06-08 00:00:00
181,21.20,2003-06-15 00:00:00
182,21.20,2003-06-22 00:00:00
183,15.40,2003-06-29 00:00:00
184,14.20,2003-07-06 00:00:00
185,14.20,2003-07-13 00:00:00
186,21.20,2003-07-20 00:00:00
187,19.10,2003-07-27 00:00:00
188,19.10,2003-08-03 00:00:00
189,20.80,2003-08-10 00:00:00
190,15.00,2003-08-17 00:00:00
191,20.10,2003-08-24 00:00:00
192,15.00,2003-08-31 00:00:00
193,15.00,2003-09-07 00:00:00
194,22.20,2003-09-14 00:00:00
195,14.80,2003-09-21 00:00:00
196,14.80,2003-09-28 00:00:00
197,20.30,2003-10-05 00:00:00
198,14.80,2003-10-12 00:00:00
199,21.70,2003-10-19 00:00:00
200,14.80,2003-10-26 00:00:00
201,14.60,2003-11-02 00:00:00
202,21.20,2003-11-09 00:00:00
203,14.60,2003-11-16 00:00:00
204,21.20,2003-11-23 00:00:00
205,21.20,2003-11-30 00:00:00
206,14.60,2003-12-07 00:00:00
207,14.90,2003-12-14 00:00:00
208,14.90,2003-12-21 00:00:00
209,21.60,2003-12-28 00:00:00
210,15.10,2004-01-04 00:00:00
211,15.90,2004-01-11 00:00:00
212,15.90,2004-01-18 00:00:00
213,23.00,2004-01-25 00:00:00
214,21.60,2004-02-01 00:00:00
215,15.90,2004-02-08 00:00:00
